target,split,baseline,test/mae,test/r2,test/rmse,dataset,encoder,variant
Class,0,Linear,3.602323478817842,-0.03914362155214879,4.686298534417082,polyinfo,AttentiveFP,default
Class,0,RF,3.8531322925225973,-0.17207355645674016,4.977022419843546,polyinfo,AttentiveFP,default
Class,0,XGB,3.555329073621488,-0.007585874048529728,4.614590825773719,polyinfo,AttentiveFP,default
Class,1,Linear,3.538205493544592,-0.028303907876915613,4.568814678577891,polyinfo,AttentiveFP,default
Class,1,RF,3.737500410846344,-0.1448859951999284,4.820853353236336,polyinfo,AttentiveFP,default
Class,1,XGB,3.506185028527541,-0.004963795730229537,4.516666323679459,polyinfo,AttentiveFP,default
Class,2,Linear,3.6454280827411787,-0.0206876139872334,4.667020462836763,polyinfo,AttentiveFP,default
Class,2,RF,3.8533327855382082,-0.13214269575143467,4.915230254714538,polyinfo,AttentiveFP,default
Class,2,XGB,3.6142632916214628,-0.00665114029718028,4.634818989550389,polyinfo,AttentiveFP,default
Class,3,Linear,3.811254610266956,-0.8701894549559046,6.227449153646786,polyinfo,AttentiveFP,default
Class,3,RF,3.8528496302382913,-0.17083236653897305,4.927365156488189,polyinfo,AttentiveFP,default
Class,3,XGB,3.6407493882817916,-0.01949956755460458,4.597914713070708,polyinfo,AttentiveFP,default
Class,4,Linear,3.7187582892086435,-0.006733262791282835,4.708579590811504,polyinfo,AttentiveFP,default
Class,4,RF,3.886601479046837,-0.07582481731952884,4.867472270156197,polyinfo,AttentiveFP,default
Class,4,XGB,3.7280317485185557,-0.009363413406356047,4.714726301092221,polyinfo,AttentiveFP,default
