dataset,target,metric,base_mean,rdkit_mean,pct_change,change_type
opv_camb3lyp,delta_homo,rmse,0.06264603137969967,0.0631792455911636,0.8511540152194236,increase
opv_camb3lyp,delta_homo,r2,0.7395320653915405,0.7380778193473816,0.1966440824156759,decrease
opv_camb3lyp,delta_homo,mae,0.03428964614868158,0.03852449581027025,12.350228530286246,increase
opv_camb3lyp,delta_lumo,rmse,0.0496157050132751,0.054037451744079534,8.91199012413783,increase
opv_camb3lyp,delta_lumo,r2,0.8935082912445068,0.872586703300476,2.3415102186562264,decrease
opv_camb3lyp,delta_lumo,mae,0.03200454041361804,0.03489697352051728,9.03757113683938,increase
opv_camb3lyp,delta_optical_lumo,rmse,0.05487177297472949,0.058027070760726905,5.75031134395921,increase
opv_camb3lyp,delta_optical_lumo,r2,0.8716262578964233,0.8564528584480285,1.740814863128857,decrease
opv_camb3lyp,delta_optical_lumo,mae,0.034658121317625,0.038860096037387805,12.124069511020883,increase
opv_camb3lyp,gap,rmse,0.0575676247477531,0.06615317761898035,14.91385637126247,increase
opv_camb3lyp,gap,r2,0.9827156901359558,0.9771187424659729,0.5695388530133935,decrease
opv_camb3lyp,gap,mae,0.03648215308785434,0.04126134216785428,13.100074078662399,increase
opv_camb3lyp,gap_extrapolated,rmse,0.11132656335830685,0.11995670944452282,7.752099612057246,increase
opv_camb3lyp,gap_extrapolated,r2,0.9327372312545776,0.9219279050827026,1.1588822456819854,decrease
opv_camb3lyp,gap_extrapolated,mae,0.06832169443368906,0.07497845143079752,9.74325512896831,increase
opv_camb3lyp,homo,rmse,0.052251964062452264,0.08473747298121448,62.170885825334885,increase
opv_camb3lyp,homo,r2,0.9889642119407653,0.9606361746788025,2.8644148008522268,decrease
opv_camb3lyp,homo,mae,0.03091886006295676,0.03774298951029774,22.071090051333506,increase
opv_camb3lyp,homo_extrapolated,rmse,0.10342282950878139,0.10459976047277449,1.1379798537547938,increase
opv_camb3lyp,homo_extrapolated,r2,0.9635370135307312,0.9627995967864991,0.07653226953160444,decrease
opv_camb3lyp,homo_extrapolated,mae,0.06173323914408681,0.06425131931900976,4.078969789752486,increase
opv_camb3lyp,lumo,rmse,0.04428893327713006,0.047143819928169226,6.446049700893057,increase
opv_camb3lyp,lumo,r2,0.99431312084198,0.9935523629188537,0.07651090055837102,decrease
opv_camb3lyp,lumo,mae,0.027667979896068524,0.03176970370113842,14.824804053196278,increase
opv_camb3lyp,lumo_extrapolated,rmse,0.08485684692859644,0.0945435926318168,11.415396699068218,increase
opv_camb3lyp,lumo_extrapolated,r2,0.9769992232322693,0.9712915897369385,0.5842004128158705,decrease
opv_camb3lyp,lumo_extrapolated,mae,0.05609635487198823,0.06322959959506987,12.716057468189659,increase
opv_camb3lyp,optical_lumo,rmse,0.05205016210675236,0.06480233296751972,24.499771652225167,increase
opv_camb3lyp,optical_lumo,r2,0.9910397052764892,0.9857183933258057,0.536942356835132,decrease
opv_camb3lyp,optical_lumo,mae,0.0332858249545097,0.038060653954744283,14.344932134805543,increase
opv_camb3lyp,optical_lumo_extrapolated,rmse,0.09152926504611966,0.10396718084812158,13.589004342747332,increase
opv_camb3lyp,optical_lumo_extrapolated,r2,0.9681155323982239,0.9580270648002625,1.0420726928086994,decrease
opv_camb3lyp,optical_lumo_extrapolated,mae,0.05967671275138851,0.0655400581657886,9.825181622899752,increase
opv_camb3lyp,spectral_overlap,rmse,166.16958923339843,188.1497833251953,13.227567206009002,increase
opv_camb3lyp,spectral_overlap,r2,0.9842840075492859,0.9797287940979004,0.4627946219229261,decrease
opv_camb3lyp,spectral_overlap,mae,99.95108184814453,112.10864562988282,12.163513947962317,increase
insulator,bandgap_chain,rmse,0.45428537130355834,0.4830406129360199,6.329774949598148,increase
insulator,bandgap_chain,r2,0.9000547409057618,0.8864951968193054,1.5065243779295912,decrease
insulator,bandgap_chain,mae,0.3176076769828796,0.3392640292644501,6.818585900471747,increase
htpmd,Conductivity,rmse,2.0997634419472887e-05,2.182732096116524e-05,3.9513333984085137,increase
htpmd,Conductivity,r2,1.0,1.0,0.0,decrease
htpmd,Conductivity,mae,1.5567130685667507e-05,1.5936773706926033e-05,2.374509655776531,increase
htpmd,Li Diffusivity,rmse,5.568448546711125e-09,5.64372797384749e-09,1.351892300070317,increase
htpmd,Li Diffusivity,r2,1.0,1.0,0.0,decrease
htpmd,Li Diffusivity,mae,4.297210143278107e-09,4.3343796107819795e-09,0.8649674152429888,increase
htpmd,Poly Diffusivity,rmse,4.2325422278111094e-09,4.463794578413172e-09,5.46367497724072,increase
htpmd,Poly Diffusivity,r2,1.0,1.0,0.0,decrease
htpmd,Poly Diffusivity,mae,3.0306477771802063e-09,3.182981789251471e-09,5.02645055681793,increase
htpmd,TFSI Diffusivity,rmse,8.60463273966161e-09,8.924673444710152e-09,3.719399941073229,increase
htpmd,TFSI Diffusivity,r2,1.0,1.0,0.0,decrease
htpmd,TFSI Diffusivity,mae,6.358540538542457e-09,6.5609687460721485e-09,3.1835640003027126,increase
htpmd,Transference Number,rmse,0.21152755916118618,0.21434950530529018,1.3340796609644827,increase
htpmd,Transference Number,r2,0.44007325172424316,0.42638009786605835,3.1115624056981224,decrease
htpmd,Transference Number,mae,0.16018543541431424,0.1609325319528579,0.4663947983855815,increase
