target,split,test/accuracy,test/f1,test/roc_auc,model
Class,0,0.9835526315789473,0.9793846843430873,0.9990813230534542,LogReg
Class,0,0.9835526315789473,0.9753619918485897,0.9996464435227145,RF
Class,0,0.9876644736842105,0.978436402982096,0.9995256561095539,XGB
Class,1,0.9728618421052632,0.9654807927071933,0.9985922427461835,LogReg
Class,1,0.9786184210526315,0.9680794006937481,0.9994936092686404,RF
Class,1,0.9794407894736842,0.9734278253341554,0.9995375078303285,XGB
Class,2,0.9761513157894737,0.9652396808150645,0.9996124120941582,LogReg
Class,2,0.9769736842105263,0.9751937503303377,0.9998055445203793,RF
Class,2,0.9819078947368421,0.9816306008508281,0.9997039864378424,XGB
Class,3,0.9769736842105263,0.9446132880897371,0.998971190665598,LogReg
Class,3,0.9851973684210527,0.973041326055743,0.9998397684521849,RF
Class,3,0.9868421052631579,0.978535327833274,0.9998993666622784,XGB
Class,4,0.9868421052631579,0.9833289161355679,0.9993794498138879,LogReg
Class,4,0.9819078947368421,0.9614921820396807,0.9995395384229673,RF
Class,4,0.9860197368421053,0.9770611740142657,0.9996977430243408,XGB
