test/mae,test/rmse,test/r2,split,target
1.52977245306829e-05,2.1267449483275417e-05,0.6197476983070374,0,Conductivity
1.7362832295475528e-05,2.3483158656745214e-05,0.5356001853942871,1,Conductivity
1.6887182937352918e-05,2.3739507014397532e-05,0.5986071228981018,2,Conductivity
1.6123211025842465e-05,2.1287050913088024e-05,0.6299536824226379,3,Conductivity
1.6574484106968157e-05,2.270435288664885e-05,0.5851424932479858,4,Conductivity
6.482640646510163e-09,8.702432552354367e-09,0.6629723310470581,0,TFSI Diffusivity
6.324780699173971e-09,9.020080682375921e-09,0.6294629573822021,1,TFSI Diffusivity
6.551195141923927e-09,8.965928444126803e-09,0.6800331473350525,2,TFSI Diffusivity
6.757793435951953e-09,9.206329032451777e-09,0.5880098342895508,3,TFSI Diffusivity
6.698734011933993e-09,9.498578812383585e-09,0.6333140134811401,4,TFSI Diffusivity
