target,split,model,acc,f1_macro,logloss,roc_auc
Class,0,LogReg,0.6926869350862778,0.6126583631841832,0.9767017614195163,0.9614586757810948
Class,0,RF,0.8241577649958916,0.7918872112991685,0.737592156651831,0.9838491018860374
Class,0,XGB,0.8323746918652424,0.7964748228599089,0.5463924959665112,0.9855728200377574
Class,1,LogReg,0.7156943303204601,0.6262549842183178,0.9742545847963674,0.959107787746054
Class,1,RF,0.8241577649958916,0.7830794445199405,0.6630866888938671,0.9883804972563321
Class,1,XGB,0.8405916187345933,0.8044319539956509,0.5364144890246262,0.9869470266881499
Class,2,LogReg,0.7230895645028759,0.6540798055743368,1.0141455896664742,0.9542147172680305
Class,2,RF,0.8200493015612161,0.7912149942516765,0.6838745721589028,0.9856671723259488
Class,2,XGB,0.8307313064913723,0.8016935210861398,0.5723746234009709,0.9848264197671277
Class,3,LogReg,0.6902218570254725,0.6355810716733454,1.0231329266567513,0.9558244500543971
Class,3,RF,0.8274445357436319,0.7940378864045574,0.6972317372523349,0.9874993018880749
Class,3,XGB,0.8373048479868529,0.8157451469939667,0.5447795102142883,0.9895191046791274
Class,4,LogReg,0.7091207888249794,0.6454437257806938,0.9673906982182076,0.9630423558283272
Class,4,RF,0.8315529991783073,0.7936678089038882,0.7151969818923127,0.9871322006476617
Class,4,XGB,0.8463434675431388,0.8119836822429773,0.5023815203319486,0.9904849906581152
