target,split,model,acc,f1_macro,logloss
Class,0,LogReg,0.9556285949055053,0.9279182521859554,0.17857566397133004
Class,0,RF,0.9638455217748562,0.9464620669431818,0.2602567379313034
Class,0,XGB,0.9761709120788825,0.9643113503280254,0.0916923669833717
Class,1,LogReg,0.9482333607230896,0.9206293924388514,0.1700466905438473
Class,1,RF,0.9605587510271159,0.9444840873321352,0.25790015902621105
Class,1,XGB,0.9753492193919474,0.962961855938758,0.07991036829282128
Class,2,LogReg,0.9433032046014791,0.9279659053496399,0.19443589439533143
Class,2,RF,0.9474116680361545,0.9291408734002632,0.2819790318468889
Class,2,XGB,0.9704190632703369,0.9598098892173219,0.0963575386328906
Class,3,LogReg,0.9580936729663106,0.9327070748292556,0.15051153600387182
Class,3,RF,0.9671322925225966,0.9563260713031505,0.24975073650110352
Class,3,XGB,0.9745275267050123,0.9651753865602025,0.07735099715715164
Class,4,LogReg,0.9556285949055053,0.93764494714469,0.18771406552934972
Class,4,RF,0.9630238290879212,0.952167684074247,0.24895972638872824
Class,4,XGB,0.9778142974527527,0.9674561553110766,0.08667678647174863
